reference_id,intended_claim,doi,url,crossref_status,crossref_source,verified_title,verified_authors,verified_year,verified_journal,doi_landing_status,doi_landing_url,claim_evidence_level,claim_evidence_url,claim_evidence_locator,verbatim_supporting_excerpt,claim_keyword_hits,semantic_scope_note,semantic_review_status,audit_status
R01,Postural stability has been measured during virtual-reality exposure using an external balance reference.,10.3390/s20247138,https://doi.org/10.3390/s20247138,PASS,archived previously verified Crossref metadata,Wavelet Decomposition in Analysis of Impact of Virtual Reality Head Mounted Display Systems on Postural Stability,"Wodarski, Piotr; Jurkojć, Jacek; Gzik, Marek",2020,Sensors,403,https://www.mdpi.com/1424-8220/20/24/7138,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7764736/fullTextXML,"PMC7764736, section: Abstract","This study investigated how spatial projection systems influences body balance including postural stability. Analyzing precisely defined frequency bands of movements of the center of pressure makes it possible to determine the effectiveness of the balance system’s response to disruptions and disorders and may be used as an indicator in the diagnosis of motor dysfunction. The study involved 28 participants for whom the center of pressure was assessed in a test with open eyes, closed eyes and with virtual reality projection. Percent distributions of energy during wavelet decomposition were calculated. Changes in body stability were determined for the virtual reality tests and these changes were classified as an intermediate value between the open-eyes test and the closed-eyes test. The results indicate the importance of using safety support systems in therapies involving Virtual Reality. T",postural stability|virtual reality,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R02,Consumer HMD tracking requires independent evaluation before metrological claims.,10.1007/s10055-022-00637-3,https://doi.org/10.1007/s10055-022-00637-3,PASS,archived previously verified Crossref metadata,Evaluation of the Oculus Rift S tracking system in room scale virtual reality,"Monica, Riccardo; Aleotti, Jacopo",2022,Virtual Reality,200,https://link.springer.com/article/10.1007/s10055-022-00637-3?error=cookies_not_supported&code=d13fe592-c517-4082-be13-014a1fd0cb3e,Crossref abstract fallback,https://api.crossref.org/works/10.1007/s10055-022-00637-3,Crossref abstract,"Abstract In specific virtual reality applications that require high accuracy it may be advisable to replace the built-in tracking system of the HMD with a third party solution. The purpose of this research work is to evaluate the accuracy of the built-in tracking system of the Oculus Rift S Head Mounted Display (HMD) in room scale environments against a motion capture system. In particular, an experimental evaluation of the Oculus Rift S inside-out tracking technology was carried out, compared to the performance of an outside-in tracking method based on the OptiTrack motion capture system. In order to track the pose of the HMD using the motion capture system the Oculus Rift S was instrumented with passive retro-reflective markers and calibrated. Experiments have been performed on a dataset of multiple paths including simple motions as well as more complex paths. Each recorded path contai",tracking|accuracy,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R03,Head orientation measured in HMD-based VR is behaviorally relevant but system dependent.,10.1007/s10055-022-00732-5,https://doi.org/10.1007/s10055-022-00732-5,PASS,archived previously verified Crossref metadata,Differences in virtual and physical head orientation predict sickness during active head-mounted display-based virtual reality,"Palmisano, Stephen; Allison, Robert S.; Teixeira, Joel; Kim, Juno",2023,Virtual Reality,200,https://link.springer.com/article/10.1007/s10055-022-00732-5?error=cookies_not_supported&code=2f4c2d4b-7624-4e96-a821-d516570b0d75,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9761034/fullTextXML,"PMC9761034, section: Abstract","During head-mounted display (HMD)-based virtual reality (VR), head movements and motion-to-photon-based display lag generate differences in our virtual and physical head pose (referred to as DVP). We propose that large-amplitude, time-varying patterns of DVP serve as the primary trigger for cybersickness under such conditions. We test this hypothesis by measuring the sickness and estimating the DVP experienced under different levels of experimentally imposed display lag (ranging from 0 to 222 ms on top of the VR system’s ~ 4 ms baseline lag). On each trial, seated participants made continuous, oscillatory head rotations in yaw, pitch or roll while viewing a large virtual room with an Oculus Rift CV1 HMD (head movements were timed to a computer-generated metronome set at either 1.0 or 0.5 Hz). After the experiment, their head-tracking data were used to objectively estimate the DVP during ",head-mounted,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R04,"Inertial HAR pipelines depend on acquisition, segmentation, features, and classification choices.",10.3390/s19143213,https://doi.org/10.3390/s19143213,PASS,archived previously verified Crossref metadata,Human Activity Recognition Using Inertial Sensors in a Smartphone: An Overview,"Sousa Lima, Wesllen; Souto, Eduardo; El-Khatib, Khalil; Jalali, Roozbeh; Gama, Joao",2019,Sensors,403,https://www.mdpi.com/1424-8220/19/14/3213,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6679521/fullTextXML,"PMC6679521, section: 4. General Motivation for the Smartphone-Based HAR Area","From 2013, data fusion techniques for multiple sensors were applied in the feature extraction step [ 51 ]. In addition, more detailed studies for discovering accurate lightweight features were performed [ 52 ]. In 2014, some research focused on the data segmentation step with the objective of measuring the impact of time window size on the accuracy of classification models [ 53 ]. From 2015, the HAR area began to converge with the application of deep learning classification algorithms, with the first work developed by Alsheikh et al. [ 54 ]. From there, the classification models generated by the deep learning methods became the state of the art of classifying activities.",window|feature,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R05,Inertial sensing has been applied to distinguish behaviors performed while sitting.,10.3390/s21196652,https://doi.org/10.3390/s21196652,PASS,archived previously verified Crossref metadata,Smartphone-Based Human Sitting Behaviors Recognition Using Inertial Sensor,"Sinha, Vikas Kumar; Patro, Kiran Kumar; Pławiak, Paweł; Prakash, Allam Jaya",2021,Sensors,403,https://www.mdpi.com/1424-8220/21/19/6652,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8512024/fullTextXML,"PMC8512024, section: Abstract","At present, people spend most of their time in passive rather than active mode. Sitting with computers for a long time may lead to unhealthy conditions like shoulder pain, numbness, headache, etc. To overcome this problem, human posture should be changed for particular intervals of time. This paper deals with using an inertial sensor built in the smartphone and can be used to overcome the unhealthy human sitting behaviors (HSBs) of the office worker. To monitor, six volunteers are considered within the age band of 26 ± 3 years, out of which four were male and two were female. Here, the inertial sensor is attached to the rear upper trunk of the body, and a dataset is generated for five different activities performed by the subjects while sitting in the chair in the office. Correlation-based feature selection (CFS) technique and particle swarm optimization (PSO) methods are jointly used to",sitting|inertial,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R06,Smartphone inertial streams can support activity analysis during seated media use.,10.3390/s20030655,https://doi.org/10.3390/s20030655,PASS,archived previously verified Crossref metadata,"Real-time Smartphone Activity Classification Using Inertial Sensors—Recognition of Scrolling, Typing, and Watching Videos While Sitting or Walking","Zhuo, Sijie; Sherlock, Lucas; Dobbie, Gillian; Koh, Yun Sing; Russello, Giovanni; Lottridge, Danielle",2020,Sensors,403,https://www.mdpi.com/1424-8220/20/3/655,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7038357/fullTextXML,"PMC7038357, section: Abstract","By developing awareness of smartphone activities that the user is performing on their smartphone, such as scrolling feeds, typing and watching videos, we can develop application features that are beneficial to the users, such as personalization. It is currently not possible to access real-time smartphone activities directly, due to standard smartphone privileges and if internal movement sensors can detect them, there may be implications for access policies. Our research seeks to understand whether the sensor data from existing smartphone inertial measurement unit (IMU) sensors (triaxial accelerometers, gyroscopes and magnetometers) can be used to classify typical human smartphone activities. We designed and conducted a study with human participants which uses an Android app to collect motion data during scrolling, typing and watching videos, while walking or seated and the baseline of sm",inertial,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R07,Sensor placement and multi-sensor combinations affect activity-recognition results.,10.3390/s16040426,https://doi.org/10.3390/s16040426,PASS,archived previously verified Crossref metadata,Complex Human Activity Recognition Using Smartphone and Wrist-Worn Motion Sensors,"Shoaib, Muhammad; Bosch, Stephan; Incel, Ozlem; Scholten, Hans; Havinga, Paul",2016,Sensors,403,https://www.mdpi.com/1424-8220/16/4/426,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4850940/fullTextXML,"PMC4850940, section: Abstract","The position of on-body motion sensors plays an important role in human activity recognition. Most often, mobile phone sensors at the trouser pocket or an equivalent position are used for this purpose. However, this position is not suitable for recognizing activities that involve hand gestures, such as smoking, eating, drinking coffee and giving a talk. To recognize such activities, wrist-worn motion sensors are used. However, these two positions are mainly used in isolation. To use richer context information, we evaluate three motion sensors (accelerometer, gyroscope and linear acceleration sensor) at both wrist and pocket positions. Using three classifiers, we show that the combination of these two positions outperforms the wrist position alone, mainly at smaller segmentation windows. Another problem is that less-repetitive activities, such as smoking, eating, giving a talk and drinkin",sensor,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R08,A recent wearable-IMU HAR study used a deep convolutional pipeline with time-frequency features.,10.3390/s23249721,https://doi.org/10.3390/s23249721,PASS,archived previously verified Crossref metadata,Deep Wavelet Convolutional Neural Networks for Multimodal Human Activity Recognition Using Wearable Inertial Sensors,"Vuong, Thi Hong; Doan, Tung; Takasu, Atsuhiro",2023,Sensors,403,https://www.mdpi.com/1424-8220/23/24/9721,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10747357/fullTextXML,"PMC10747357, section: Abstract","Recent advances in wearable systems have made inertial sensors, such as accelerometers and gyroscopes, compact, lightweight, multimodal, low-cost, and highly accurate. Wearable inertial sensor-based multimodal human activity recognition (HAR) methods utilize the rich sensing data from embedded multimodal sensors to infer human activities. However, existing HAR approaches either rely on domain knowledge or fail to address the time-frequency dependencies of multimodal sensor signals. In this paper, we propose a novel method called deep wavelet convolutional neural networks (DWCNN) designed to learn features from the time-frequency domain and improve accuracy for multimodal HAR. DWCNN introduces a framework that combines continuous wavelet transforms (CWT) with enhanced deep convolutional neural networks (DCNN) to capture the dependencies of sensing signals in the time-frequency domain, the",deep|inertial,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R09,A supervised IMU activity study separated model training from 10-fold cross-validation.,10.3390/s21227628,https://doi.org/10.3390/s21227628,PASS,archived previously verified Crossref metadata,Wearable IMU-Based Human Activity Recognition Algorithm for Clinical Balance Assessment Using 1D-CNN and GRU Ensemble Model,"Kim, Yeon-Wook; Joa, Kyung-Lim; Jeong, Han-Young; Lee, Sangmin",2021,Sensors,403,https://www.mdpi.com/1424-8220/21/22/7628,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8621118/fullTextXML,"PMC8621118, section: 2.2. Methodology of the Proposed Method","Figure 4 presents the methodology of the proposed method. Before training the deep-learning model with the data, the dataset was improved, and 14 models were evaluated by 10-fold cross-validation.",training|cross-validation,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R10,The Unity Experiment Framework is an open-source Unity resource for behavioral experiments that produces analysis-ready data files.,10.3758/s13428-019-01242-0,https://doi.org/10.3758/s13428-019-01242-0,PASS,archived previously verified Crossref metadata,Studying human behavior with virtual reality: The Unity Experiment Framework,"Brookes, Jack; Warburton, Matthew; Alghadier, Mshari; Mon-Williams, Mark; Mushtaq, Faisal",2020,Behavior Research Methods,200,https://link.springer.com/article/10.3758/s13428-019-01242-0?error=cookies_not_supported&code=6f1c712d-805c-4f69-bb3d-3c1c227511bf,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7148262/fullTextXML,"PMC7148262, section: Summary","We have created an open-source resource that enables researchers to use the powerful gaming engine Unity when designing experiments. We tested the usefulness of UXF by designing an experiment that could be deployed within a museum setting. We found that UXF simplified the development of the experiment and produced measures, in the form of data files that were in a format that made subsequent data analysis straightforward. The data collected were consistent with the equivalent laboratory-based measures (reported over many decades of research), whereby children showed less postural stability than did adults, and whereby both adults and children showed greater sway when the visual information was perturbed. There are likely to be differences in the postural responses of both adults and children within a virtual environment relative to a laboratory setting, and we do not suggest that the data are quantitatively similar between these settings. Nonetheless, these data do show that remotely deployed VR systems can capture age differences and detect the outcomes of an experimental manipulation.",open-source resource|data files,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
